TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.78143	0	0.374	-0.41		0	21.6	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.008969101
42424.78149	0	0.379	-0.41		0	21.9	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.009526444
42424.78155	0	0.385	-0.41		0	22.1	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01004301
42424.78161	0	0.391	-0.41		0	22.3	7.20	1.0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01056474
42424.78167	0	0.397	-0.41		0	22.5	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01109196
42424.78172	0	0.402	-0.40		0	22.8	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01162643
42424.78178	0	0.409	-0.41		0	23.0	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01216585
42424.78184	2.23e-05	0.415	-0.41		0	23.2	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01270884
42424.78190	0.000119	0.421	-0.41		0	23.4	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01325613
42424.78196	6.71e-05	0.427	-0.41		0	23.6	7.19	0	0	0	2.67	1.0	1.12	1.0	22.2	19.9	0	1.0	-0.01381009
42424.78201	3.00e-05	0.433	-0.41		0	23.9	7.19	0	0	0	2.67	1.0	1.12	1.0	22.2	19.9	0	1.0	-0.01436732
42424.78207	0.000258	0.439	-0.41		0	24.1	7.19	0	0	0	2.67	1.0	1.12	1.0	22.2	19.9	0	1.0	-0.01492676
42424.78213	0.000141	0.444	-0.41		0	24.3	7.19	0	0	0	2.67	1.0	1.12	1.0	22.2	19.9	0	1.0	-0.01549230
42424.78219	0.000398	0.450	-0.41		0	24.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	1.0	-0.01605971
42424.78225	0.000215	0.457	-0.40		50.0	24.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	1.0	-0.01663040
42424.78230	0	0.462	-0.40		0	24.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.01720231
42424.78236	0	0.466	-0.41		0	25.1	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.01777484
42424.78242	0	0.471	-0.41		0	25.3	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01834555
42424.78248	0	0.473	-0.41		0	25.4	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.01891042
42424.78254	0	0.475	-0.41		0	25.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01946729
42424.78259	0	0.476	-0.41		0	25.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02001573
42424.78265	0	0.477	-0.40		0	25.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02055283
42424.78271	0	0.478	-0.41		0	25.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02107818
42424.78277	0	0.478	-0.41		0	25.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02159160
42424.78283	0	0.479	-0.41		0	25.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02209202
42424.78288	0	0.479	-0.41		0	25.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02257931
42424.78294	0	0.479	-0.41		0	25.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02305324
42424.78300	0	0.480	-0.41		0	25.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02351327
42424.78306	0	0.480	-0.41		0	26.0	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02395904
42424.78312	0	0.480	-0.41		0	26.0	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02439087
42424.78317	0	0.480	-0.41		0	26.0	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02480802
42424.78323	0	0.480	-0.41		0	26.1	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02521040
